kurs,q00_1,q00_2,q06_1,q06_20,q07_1,q08_1,q09_1,q15_1,q15_2,q15_3,q15_4,q15_5,q15_6,q15_7,q15_8,q15_9,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q16_8,q16_9,q16_10,q16_11,q16_12,q16_13,q16_14,q16_15,q16_16,q16_17,q16_18,q16_19,q16_20,q16_21,q16_22,q16_23,q16_24,q16_25,q16_26,q16_27,q16_28,q16_29,q16_30,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_7,q18_8,q18_9,q18_10,q18_11,q18_12,q18_13,q18_14,q18_15,q18_16,q18_17,q18_18,q18_19,q18_20,q18_21,q18_22,q18_23,q18_24,q18_25,q18_26,q18_27,q18_28,q18_29,q18_30,q18_31,q18_32,q18_33,q18_34,q18_35,nr,q01
B,6,W,4,5, Nichts, Bis 10 CHF,Android ,5,5,4,-1,4,4,4,4,4,5,1,5,1,1,1,1,5,1,3,1,1,3,1,2,1,5,1,1,2,2,4,1,4,1,1,1,1,4,1,5,4,2,5,5,3,3,5,1,1,2,1,1,5,4,4,5,4,5,4,4,5,5,5,4,5,2,4,3,1,1,3,4,5,4,131,1629
B,2,W,1,2, Weniger als 5 CHF, Bis 10 CHF,Android ,-1,4,2,2,4,4,4,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,4,4,5,4,4,2,3,4,4,-1,4,-1,-1,4,4,4,-1,4,-1,4,-1,5,-1,5,-1,5,-1,-1,-1,-1,-1,-1,2,5,-1,132,1635
B,4,W,1,1, Nichts, Bis 20 CHF,Android ,3,5,2,4,3,3,5,2,3,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,5,4,4,5,4,3,3,4,5,4,2,1,-1,1,3,4,4,-1,4,5,5,5,5,-1,-1,4,1,3,-1,-1,-1,1,4,5,-1,133,2006
B,5,W,1,3, Nichts, Bis 20 CHF,Android ,5,5,4,5,5,5,5,4,4,4,-1,1,-1,1,-1,1,-1,-1,-1,2,3,1,-1,2,-1,-1,-1,-1,-1,2,5,-1,5,2,-1,-1,-1,2,1,4,2,2,5,5,2,2,5,5,5,4,5,1,4,4,4,5,5,5,5,4,2,4,2,1,4,1,5,3,1,5,4,3,5,-1,134,1682
B,5,W,1,4, Nichts, Mehr als 20 CHF,Android ,5,4,1,1,4,4,4,3,4,4,1,1,1,2,1,1,4,1,1,4,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,4,4,2,3,5,4,3,3,5,5,4,3,2,1,5,4,4,5,3,3,3,4,4,3,4,2,4,2,4,3,1,1,2,3,4,3,135,2220
B,5,M,4,5, Nichts, Mehr als 20 CHF,Android ,5,4,3,4,3,4,5,4,3,4,5,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,2,1,1,5,5,1,1,2,5,2,3,2,1,5,3,3,5,3,1,5,5,3,1,1,4,4,1,3,2,1,4,2,4,4,1,136,2186
B,5,M,1,3, Nichts, Nichts,Android ,4,4,2,3,3,2,1,2,2,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,-1,-1,-1,2,-1,-1,4,-1,-1,-1,2,1,4,1,1,4,5,1,3,3,5,5,1,1,-1,3,3,2,5,1,1,1,4,2,1,-1,4,4,2,4,3,-1,-1,1,4,1,-1,137,1743
B,5,M,3,4, Weniger als 5 CHF, Nichts,iPhone,5,5,4,5,5,5,5,5,5,5,1,2,1,1,1,1,1,1,2,3,1,1,1,1,2,3,1,1,1,1,4,1,1,3,1,1,1,1,1,3,1,1,5,5,2,3,5,1,4,4,1,1,4,3,3,5,2,2,5,5,2,3,1,1,2,1,3,1,1,1,3,3,5,2,138,1945
B,3,M,1,2, Nichts, Mehr als 20 CHF,iPhone,5,5,5,5,5,5,5,5,5,5,3,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,5,3,4,5,5,4,4,5,5,5,4,5,2,2,4,4,5,2,5,5,5,5,5,2,4,4,2,5,2,1,1,2,4,5,2,139,2157
B,5,W,3,3, Nichts, Bis 10 CHF,Android ,5,5,4,4,5,5,5,5,5,4,1,1,1,4,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,4,4,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,2,5,4,4,3,3,3,2,4,3,5,5,1,1,3,4,5,1,140,2210
B,6,W,1,5, Weniger als 5 CHF, Nichts,Android ,5,5,2,5,5,5,5,5,5,5,1,5,1,1,1,1,2,1,1,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,4,2,3,5,5,2,1,1,5,5,5,5,1,3,4,4,5,1,3,5,4,2,3,2,2,5,2,4,4,1,1,3,1,5,2,141,1907
B,4,M,3,2, Nichts, Bis 10 CHF,Mobiltelefon,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,1945
B,4,M,1,1,NA,NA,Android ,5,5,-1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,5,4,1,5,5,5,5,5,5,5,3,3,1,1,3,3,5,-1,1,1,4,1,1,1,1,3,3,3,3,1,1,1,4,5,1,143,1785
B,4,W,1,6, Weniger als 5 CHF,NA,iPhone,5,5,1,4,5,4,4,4,1,5,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,3,-1,5,3,4,5,5,4,4,4,5,1,3,1,1,5,4,3,4,1,1,4,4,4,4,2,4,4,1,4,1,1,1,1,3,5,1,144,1891
B,5,M,2,3, Weniger als 5 CHF, Weniger als 5 CHF,Android ,2,4,1,3,2,3,1,2,3,2,-1,-1,3,-1,-1,3,-1,-1,4,-1,4,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,4,1,-1,4,4,1,2,4,5,5,4,4,-1,3,1,3,3,-1,-1,1,3,-1,-1,-1,-1,3,1,3,-1,-1,-1,-1,3,4,-1,145,1052
B,2,W,2,2, Weniger als 5 CHF, Weniger als 5 CHF,Android ,5,5,3,-1,3,5,-1,3,4,4,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,4,2,3,5,4,4,3,4,4,4,4,2,1,2,3,3,4,4,2,4,3,2,2,1,1,4,2,4,3,1,1,1,1,1,1,146,2099
B,3,W,1,2, Weniger als 5 CHF, Weniger als 5 CHF,iPhone,5,5,1,5,4,5,5,2,2,5,1,1,1,1,5,1,2,2,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,3,5,4,5,5,5,4,5,5,5,4,4,1,1,4,5,4,5,1,1,5,5,1,4,3,1,5,1,5,2,1,1,3,4,5,2,147,2527
B,5,W,1,3, Bis 10 CHF, Bis 10 CHF,Android ,5,2,2,4,5,3,-1,3,5,5,-1,5,4,-1,-1,1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,5,-1,-1,4,3,5,4,4,5,5,2,2,5,4,3,4,4,1,5,5,2,5,2,2,4,4,5,3,1,1,5,2,4,4,-1,-1,3,3,4,4,148,1951
B,5,W,2,2, Nichts, Mehr als 20 CHF,iPhone,5,5,4,4,5,5,-1,5,4,4,2,-1,-1,-1,5,2,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,5,3,4,5,4,1,3,1,5,1,3,1,1,3,3,3,4,2,4,5,5,2,2,1,1,5,2,5,2,1,1,2,1,3,1,149,1481
B,7,M,4,4, Weniger als 5 CHF, Bis 20 CHF,Android ,5,2,2,2,5,4,4,4,3,4,5,4,1,1,4,2,2,1,1,1,1,1,1,1,1,2,3,2,1,1,5,1,1,1,1,1,1,3,2,4,2,3,5,4,3,4,4,5,4,4,3,1,3,3,2,5,4,2,2,5,4,4,3,4,3,2,3,1,1,1,2,3,3,1,150,2273
B,2,W,1,5, Nichts, Bis 20 CHF,Mobiltelefon,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,2498
B,4,M,2,5, Nichts, Nichts,Android ,5,4,2,4,5,5,5,5,5,4,1,4,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,4,4,2,2,5,4,4,4,5,5,4,4,4,1,5,4,4,5,5,4,5,5,5,4,2,2,4,2,5,5,3,1,2,3,5,1,152,2174
B,5,W,1,3, Weniger als 5 CHF, Mehr als 20 CHF,Android ,5,5,1,3,4,5,1,4,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,2,3,5,3,1,1,1,4,1,2,1,1,1,3,1,1,1,2,1,3,1,4,1,4,4,1,4,4,1,1,1,1,5,1,153,2011
B,5,M,3,3, Nichts, Bis 10 CHF,Android ,5,4,4,4,4,5,5,5,5,4,-1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,5,3,4,5,4,4,4,2,5,3,1,1,1,4,4,3,4,4,1,5,5,4,1,1,1,4,2,4,3,1,1,3,4,5,1,154,2026
B,5,M,3,3, Weniger als 5 CHF, Bis 20 CHF,Android ,5,5,2,3,3,5,-1,4,4,5,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,4,5,5,3,3,4,5,5,4,4,1,5,5,4,4,3,5,5,5,3,3,1,1,5,1,5,2,1,1,3,4,5,1,155,1821
B,5,W,1,5, Nichts, Nichts,iPhone,5,5,5,5,5,5,5,4,5,5,-1,4,4,-1,-1,-1,2,-1,5,4,4,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,4,4,5,4,1,5,5,4,4,5,5,4,3,4,1,5,4,4,4,1,5,4,4,4,4,2,4,4,3,5,5,1,1,2,4,5,5,156,2117
B,3,W,1,3, Nichts, Bis 10 CHF,iPhone,2,4,2,5,4,4,2,3,3,4,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,5,2,5,5,5,1,1,1,5,1,4,1,1,1,5,4,5,1,1,4,1,1,3,1,1,5,3,5,1,1,1,1,3,5,1,157,1431
B,5,M,2,4, Bis 10 CHF, Mehr als 20 CHF,iPhone,5,4,-1,3,4,3,-1,5,1,1,1,1,1,1,5,1,1,1,1,4,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,2,5,3,2,3,2,4,1,3,1,1,1,2,2,3,3,4,4,4,3,4,1,2,2,1,2,1,1,1,2,2,4,1,158,2553
B,5,W,2,4, Nichts, Bis 10 CHF,iPhone,5,5,1,5,5,5,5,4,4,5,-1,1,5,-1,-1,-1,4,-1,5,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,5,5,-1,2,2,4,3,1,5,5,3,3,5,5,5,5,1,5,5,4,3,5,2,5,5,2,4,4,4,4,4,2,5,3,-1,5,3,3,5,2,159,1715
B,6,M,4,6, Mehr als 20 CHF,NA,Android ,5,5,5,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,5,5,5,5,5,-1,-1,5,5,-1,-1,-1,-1,5,5,4,-1,5,5,5,5,5,-1,-1,5,-1,-1,-1,5,-1,-1,-1,-1,5,-1,160,2075
B,4,W,2,2, Bis 20 CHF, Nichts,iPhone,5,4,4,3,3,3,2,2,3,5,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,3,2,5,4,4,5,5,3,4,1,5,1,2,1,1,1,3,3,5,1,4,5,5,2,4,1,2,4,3,4,4,1,1,2,4,5,1,161,1975
B,6,M,2,1, Nichts, Mehr als 20 CHF,Android ,5,5,2,5,5,5,5,3,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,-1,-1,-1,-1,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,5,4,5,5,4,3,4,3,5,3,3,-1,-1,5,5,4,5,5,5,5,5,3,5,-1,4,5,3,5,-1,-1,-1,3,4,5,-1,162,1871
B,4,W,2,1, Weniger als 5 CHF, Bis 10 CHF,Android ,5,5,3,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,4,-1,3,5,4,4,-1,4,5,-1,3,-1,-1,4,4,4,5,4,3,5,5,-1,-1,-1,3,4,2,5,3,-1,-1,2,4,5,-1,163,2092
B,5,W,1,2, Nichts, Bis 10 CHF,Android ,5,4,4,3,4,5,5,5,5,4,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,5,3,4,5,4,3,2,4,5,3,4,1,1,2,3,4,4,1,4,5,4,4,4,1,2,4,2,4,4,1,1,2,3,5,2,164,1993
B,4,M,2,3, Nichts, Mehr als 20 CHF,iPhone,5,2,3,2,4,4,4,2,2,2,3,4,-1,-1,-1,3,-1,5,-1,1,5,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,4,4,4,4,3,3,3,4,2,1,2,2,3,2,2,4,3,3,4,5,2,3,3,4,4,3,3,3,1,2,2,3,5,3,165,1717
B,5,W,3,3, Nichts, Weniger als 5 CHF,iPhone,5,5,4,4,5,5,4,5,5,5,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,3,4,5,4,1,1,1,5,1,4,1,1,4,1,3,4,1,4,4,2,4,1,1,1,4,1,4,3,1,1,1,3,3,1,166,2256
B,5,W,1,3, Weniger als 5 CHF, Bis 10 CHF,iPhone,5,5,3,5,5,5,2,4,4,5,1,1,4,1,1,2,1,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,5,4,4,3,2,5,4,3,3,2,5,2,3,3,1,5,4,4,5,4,4,5,4,4,4,1,4,5,3,5,4,-1,-1,3,4,5,2,167,1760
B,5,W,1,3, Nichts,NA,Andere,5,5,3,5,5,5,5,4,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,3,-1,-1,-1,3,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,3,2,4,4,4,5,5,2,3,4,4,3,2,2,1,2,2,2,5,2,3,5,4,4,5,1,3,4,2,4,4,-1,-1,2,3,5,3,168,1414
B,5,W,4,4, Nichts, Mehr als 20 CHF,iPhone,5,5,4,5,5,5,5,5,5,5,1,2,-1,-1,-1,3,-1,3,-1,5,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,3,4,5,4,5,5,5,1,3,5,5,2,2,2,1,4,5,4,5,1,5,5,5,5,1,1,2,5,1,5,5,1,1,3,4,5,3,169,2571
B,6,M,3,3, Weniger als 5 CHF, Weniger als 5 CHF,iPhone,5,5,-1,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,2,-1,-1,-1,3,-1,5,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,3,3,3,1,2,5,5,2,3,5,3,4,4,2,2,5,4,3,5,1,5,5,5,3,4,1,2,5,1,4,4,2,1,1,3,5,1,170,1709
B,4,M,1,5, Nichts, Mehr als 20 CHF,Android ,5,3,3,3,5,5,-1,5,4,5,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,4,2,1,5,3,2,1,2,1,3,1,1,1,5,4,3,5,2,3,3,2,1,1,1,1,4,1,3,3,2,1,3,3,2,1,171,2395
B,5,W,2,3, Nichts, Bis 20 CHF,iPhone,5,5,5,5,5,5,5,5,5,4,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,2,1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,3,4,4,2,4,5,5,3,3,4,5,5,4,4,4,1,4,4,5,2,2,5,4,4,3,3,1,-1,2,5,5,1,1,2,3,5,1,172,1564
B,4,W,1,6, Nichts, Bis 20 CHF,iPhone,5,4,4,4,5,5,-1,4,4,5,1,1,1,1,1,2,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,4,5,3,5,5,3,4,5,5,4,3,3,1,5,1,4,5,1,1,5,1,1,4,1,2,4,1,4,4,1,1,3,3,5,1,173,1372
B,6,M,2,5, Bis 10 CHF, Bis 20 CHF,Android ,5,5,-1,5,5,5,5,3,5,5,5,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,4,-1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,1,5,5,2,4,2,5,1,2,1,1,4,4,4,5,1,1,4,5,1,3,1,1,3,1,5,3,1,1,4,4,5,1,174,1871
B,4,M,2,4, Nichts, Mehr als 20 CHF,Android ,5,2,4,2,4,5,4,4,3,4,4,2,1,1,5,2,1,1,1,2,1,4,1,1,1,3,1,1,3,2,1,1,1,2,1,1,1,3,2,4,3,3,5,3,3,4,4,5,4,4,3,2,4,3,3,4,2,5,5,4,4,4,1,4,4,3,3,2,1,1,3,2,4,1,175,2377
B,4,W,3,2, Nichts, Nichts,Android ,5,4,3,4,5,5,5,4,4,5,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,4,2,5,4,5,5,4,2,2,1,4,1,4,1,1,3,5,4,-1,2,5,-1,5,3,2,1,1,-1,1,5,2,1,1,2,3,5,4,176,2214
B,4,M,3,3, Weniger als 5 CHF, Weniger als 5 CHF,iPhone,5,5,5,5,5,5,5,2,2,5,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,3,4,3,1,5,4,2,4,4,5,3,3,1,1,1,2,3,4,1,1,5,4,4,4,1,1,4,1,5,1,1,1,3,3,5,3,177,1681
B,4,M,4,2, Nichts, Bis 20 CHF,iPhone,3,4,4,4,5,5,-1,4,4,5,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,4,1,1,2,1,4,1,1,1,1,1,1,2,1,4,4,4,5,4,4,4,5,5,5,3,3,1,5,4,4,5,3,5,5,4,4,2,1,1,4,2,4,3,1,1,3,3,4,2,178,1766
B,6,W,3,2, Nichts, Mehr als 20 CHF,Android ,5,5,-1,5,5,5,5,2,5,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,4,4,5,5,4,5,5,4,5,5,5,5,5,5,1,4,4,4,5,1,2,1,4,4,4,1,4,5,4,5,4,1,1,2,4,5,1,179,2050
B,3,W,1,3, Weniger als 5 CHF, Nichts,iPhone,5,5,2,2,5,5,5,5,5,5,-1,4,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,3,1,4,2,2,5,4,2,2,5,5,1,3,-1,-1,3,2,2,4,4,4,4,3,4,1,1,4,4,1,4,4,-1,-1,-1,1,3,3,180,1560
B,6,W,2,5, Nichts, Bis 10 CHF,iPhone,5,5,5,5,5,5,5,5,4,5,2,3,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,4,5,4,1,3,5,5,5,4,1,1,5,3,3,4,1,5,5,4,4,3,1,1,5,1,4,4,1,1,3,3,5,1,181,1796
B,5,M,2,4, Weniger als 5 CHF, Weniger als 5 CHF,Android ,5,4,4,5,4,5,-1,5,5,4,5,3,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,1,1,1,1,1,1,1,3,1,1,1,2,5,3,1,5,4,1,1,3,5,5,1,1,1,5,4,3,4,5,5,5,5,4,4,3,3,2,3,5,4,3,1,1,2,5,3,182,2286
B,2,W,1,1, Nichts, Weniger als 5 CHF,Android ,5,5,1,3,5,5,5,5,3,5,-1,-1,4,-1,-1,4,-1,-1,-1,-1,-1,-1,4,-1,-1,4,-1,-1,-1,3,5,-1,-1,5,-1,-1,-1,3,-1,3,2,3,5,5,3,4,5,5,4,4,4,1,1,3,2,4,4,1,3,4,1,1,1,1,5,2,5,2,1,1,2,4,1,1,183,1042
B,3,M,1,3, Nichts, Nichts,iPhone,5,4,3,4,4,5,5,3,3,4,-1,-1,-1,-1,-1,2,1,-1,-1,-1,4,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,3,1,5,4,2,4,5,5,5,5,2,1,4,4,4,1,1,3,5,5,3,5,3,4,5,5,5,2,1,1,2,5,-1,1,184,2493
B,4,M,1,3, Nichts, Bis 10 CHF,Android ,5,4,5,5,5,5,5,3,5,5,1,1,1,1,4,1,1,1,1,5,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1,1,1,1,5,5,5,1,5,5,3,5,5,5,4,5,5,1,1,4,4,4,4,4,4,4,4,3,1,1,4,1,5,5,1,1,1,4,5,1,185,2728
B,3,M,1,4, Weniger als 5 CHF, Mehr als 20 CHF,iPhone,5,5,1,4,3,3,2,2,2,5,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,3,1,1,1,3,2,5,2,4,2,3,1,3,4,5,3,2,2,1,3,5,3,5,1,2,2,3,3,4,1,1,4,1,4,1,1,1,4,4,3,1,186,2327
B,6,W,2,5, Weniger als 5 CHF, Weniger als 5 CHF,iPhone,5,5,3,4,5,5,5,5,5,5,2,3,5,1,1,2,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,4,3,4,5,5,3,3,5,5,4,4,2,1,3,4,4,4,1,5,5,3,2,2,1,1,4,2,5,2,1,1,2,3,4,4,187,1903
B,4,M,2,2, Nichts, Bis 20 CHF,Android ,5,4,4,4,5,4,-1,4,4,5,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,4,2,5,3,5,5,5,2,2,4,5,4,2,1,1,5,3,4,5,3,2,5,4,4,4,1,1,4,4,4,1,1,1,1,4,5,2,188,1966
B,4,M,5,1, Weniger als 5 CHF, Mehr als 20 CHF,Android ,5,5,-1,4,5,5,-1,3,4,5,1,-1,1,-1,-1,2,-1,-1,4,-1,4,4,-1,2,2,-1,-1,-1,4,-1,5,1,3,-1,-1,-1,-1,3,1,4,3,1,5,4,4,4,5,5,5,3,-1,1,5,3,3,4,5,5,5,5,2,4,3,3,4,2,5,5,-1,-1,2,4,5,-1,189,2391
B,5,W,1,1, Bis 10 CHF, Bis 10 CHF,iPhone,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,3,3,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,5,4,4,5,5,3,3,5,5,3,4,3,-1,4,4,4,5,5,5,5,4,4,4,3,2,4,2,4,4,1,1,3,3,5,3,190,2243
B,4,W,2,3, Nichts, Bis 20 CHF,Android ,5,5,4,5,5,5,5,5,4,5,1,1,1,3,1,1,3,1,4,4,2,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,2,4,4,3,5,5,2,4,4,5,4,4,1,1,1,4,3,5,1,5,4,4,4,2,4,4,4,2,5,4,1,1,2,1,5,4,191,1882
B,6,M,4,4, Weniger als 5 CHF, Mehr als 20 CHF,Android ,5,5,2,5,5,5,4,4,4,1,5,1,1,1,1,4,1,1,1,1,1,4,1,1,4,1,1,1,4,2,2,1,1,3,1,1,1,2,2,5,3,3,5,4,3,3,4,5,3,2,2,1,4,4,4,4,2,5,5,5,4,3,2,1,5,4,5,3,2,1,4,2,5,1,192,2136
B,5,W,2,4, Nichts, Nichts,iPhone,5,5,3,3,4,5,5,4,3,5,-1,-1,5,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,4,3,4,3,2,5,4,2,3,3,5,4,4,1,1,1,1,1,4,3,5,5,4,3,4,1,4,4,1,5,3,1,1,3,3,5,4,193,2869
B,6,W,1,3, Bis 20 CHF, Nichts,Android ,5,5,1,-1,5,5,5,5,5,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1,5,5,1,1,1,5,1,3,1,1,1,3,4,5,1,5,5,3,2,1,1,3,4,1,5,5,1,1,3,3,4,1,194,2533
B,4,W,1,3, Nichts, Weniger als 5 CHF,Android ,5,4,2,4,4,4,5,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,5,3,4,1,5,4,4,5,1,1,3,3,4,1,4,4,4,1,4,1,1,4,1,4,4,1,1,2,3,5,2,195,2591
