kurs,digitalisiert,geschlecht,q06_1,q06_20,q09_1,q15_1,q15_2,q15_3,q15_4,q15_5,q15_6,q15_7,q15_8,q15_9,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q16_8,q16_9,q16_10,q16_11,q16_12,q16_13,q16_14,q16_15,q16_16,q16_17,q16_18,q16_19,q16_20,q16_21,q16_22,q16_23,q16_24,q16_25,q16_26,q16_27,q16_28,q16_29,q16_30,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_7,q18_8,q18_9,q18_10,q18_11,q18_12,q18_13,q18_14,q18_15,q18_16,q18_17,q18_18,q18_19,q18_20,q18_21,q18_22,q18_23,q18_24,q18_25,q18_26,q18_27,q18_28,q18_29,q18_30,q18_31,q18_32,q18_33,q18_34,q18_35,nr
B,4,W,2,1,Android ,5,5,5,5,5,5,5,5,4,5,1,4,4,1,1,1,1,1,1,1,4,5,1,1,1,2,1,1,1,2,1,1,1,-1,1,1,1,2,1,5,4,2,5,1,1,1,3,5,4,1,1,1,5,4,4,4,2,1,2,1,1,1,1,1,4,1,5,3,1,1,1,1,5,1,130
B,6,W,4,5,Android ,5,5,4,-1,4,4,4,4,4,5,1,5,1,1,1,1,5,1,3,1,1,3,1,2,1,5,1,1,2,2,4,1,4,1,1,1,1,4,1,5,4,2,5,5,3,3,5,1,1,2,1,1,5,4,4,5,4,5,4,4,5,5,5,4,5,2,4,3,1,1,3,4,5,4,131
B,2,W,1,2,Android ,-1,4,2,2,4,4,4,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,4,4,5,4,4,2,3,4,4,-1,4,-1,-1,4,4,4,-1,4,-1,4,-1,5,-1,5,-1,5,-1,-1,-1,-1,-1,-1,2,5,-1,132
B,4,W,1,1,Android ,3,5,2,4,3,3,5,2,3,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,5,4,4,5,4,3,3,4,5,4,2,1,-1,1,3,4,4,-1,4,5,5,5,5,-1,-1,4,1,3,-1,-1,-1,1,4,5,-1,133
B,5,W,1,3,Android ,5,5,4,5,5,5,5,4,4,4,-1,1,-1,1,-1,1,-1,-1,-1,2,3,1,-1,2,-1,-1,-1,-1,-1,2,5,-1,5,2,-1,-1,-1,2,1,4,2,2,5,5,2,2,5,5,5,4,5,1,4,4,4,5,5,5,5,4,2,4,2,1,4,1,5,3,1,5,4,3,5,-1,134
B,5,W,1,4,Android ,5,4,1,1,4,4,4,3,4,4,1,1,1,2,1,1,4,1,1,4,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,4,4,2,3,5,4,3,3,5,5,4,3,2,1,5,4,4,5,3,3,3,4,4,3,4,2,4,2,4,3,1,1,2,3,4,3,135
B,5,M,4,5,Android ,5,4,3,4,3,4,5,4,3,4,5,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,2,1,1,5,5,1,1,2,5,2,3,2,1,5,3,3,5,3,1,5,5,3,1,1,4,4,1,3,2,1,4,2,4,4,1,136
B,5,M,1,3,Android ,4,4,2,3,3,2,1,2,2,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,-1,-1,-1,2,-1,-1,4,-1,-1,-1,2,1,4,1,1,4,5,1,3,3,5,5,1,1,-1,3,3,2,5,1,1,1,4,2,1,-1,4,4,2,4,3,-1,-1,1,4,1,-1,137
B,5,M,3,4,iPhone,5,5,4,5,5,5,5,5,5,5,1,2,1,1,1,1,1,1,2,3,1,1,1,1,2,3,1,1,1,1,4,1,1,3,1,1,1,1,1,3,1,1,5,5,2,3,5,1,4,4,1,1,4,3,3,5,2,2,5,5,2,3,1,1,2,1,3,1,1,1,3,3,5,2,138
B,3,M,1,2,iPhone,5,5,5,5,5,5,5,5,5,5,3,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,5,3,4,5,5,4,4,5,5,5,4,5,2,2,4,4,5,2,5,5,5,5,5,2,4,4,2,5,2,1,1,2,4,5,2,139
B,5,W,3,3,Android ,5,5,4,4,5,5,5,5,5,4,1,1,1,4,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,4,4,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,2,5,4,4,3,3,3,2,4,3,5,5,1,1,3,4,5,1,140
B,6,W,1,5,Android ,5,5,2,5,5,5,5,5,5,5,1,5,1,1,1,1,2,1,1,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,4,2,3,5,5,2,1,1,5,5,5,5,1,3,4,4,5,1,3,5,4,2,3,2,2,5,2,4,4,1,1,3,1,5,2,141
B,4,M,3,2,Mobiltelefon,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142
B,4,M,1,1,Android ,5,5,-1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,5,4,1,5,5,5,5,5,5,5,3,3,1,1,3,3,5,-1,1,1,4,1,1,1,1,3,3,3,3,1,1,1,4,5,1,143
B,4,W,1,6,iPhone,5,5,1,4,5,4,4,4,1,5,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,3,-1,5,3,4,5,5,4,4,4,5,1,3,1,1,5,4,3,4,1,1,4,4,4,4,2,4,4,1,4,1,1,1,1,3,5,1,144
B,5,M,2,3,Android ,2,4,1,3,2,3,1,2,3,2,-1,-1,3,-1,-1,3,-1,-1,4,-1,4,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,4,1,-1,4,4,1,2,4,5,5,4,4,-1,3,1,3,3,-1,-1,1,3,-1,-1,-1,-1,3,1,3,-1,-1,-1,-1,3,4,-1,145
B,2,W,2,2,Android ,5,5,3,-1,3,5,-1,3,4,4,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,4,2,3,5,4,4,3,4,4,4,4,2,1,2,3,3,4,4,2,4,3,2,2,1,1,4,2,4,3,1,1,1,1,1,1,146
B,3,W,1,2,iPhone,5,5,1,5,4,5,5,2,2,5,1,1,1,1,5,1,2,2,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,3,5,4,5,5,5,4,5,5,5,4,4,1,1,4,5,4,5,1,1,5,5,1,4,3,1,5,1,5,2,1,1,3,4,5,2,147
B,5,W,1,3,Android ,5,2,2,4,5,3,-1,3,5,5,-1,5,4,-1,-1,1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,5,-1,-1,4,3,5,4,4,5,5,2,2,5,4,3,4,4,1,5,5,2,5,2,2,4,4,5,3,1,1,5,2,4,4,-1,-1,3,3,4,4,148
B,5,W,2,2,iPhone,5,5,4,4,5,5,-1,5,4,4,2,-1,-1,-1,5,2,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,5,3,4,5,4,1,3,1,5,1,3,1,1,3,3,3,4,2,4,5,5,2,2,1,1,5,2,5,2,1,1,2,1,3,1,149
B,7,M,4,4,Android ,5,2,2,2,5,4,4,4,3,4,5,4,1,1,4,2,2,1,1,1,1,1,1,1,1,2,3,2,1,1,5,1,1,1,1,1,1,3,2,4,2,3,5,4,3,4,4,5,4,4,3,1,3,3,2,5,4,2,2,5,4,4,3,4,3,2,3,1,1,1,2,3,3,1,150
B,2,W,1,5,Mobiltelefon,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151
B,4,M,2,5,Android ,5,4,2,4,5,5,5,5,5,4,1,4,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,4,4,2,2,5,4,4,4,5,5,4,4,4,1,5,4,4,5,5,4,5,5,5,4,2,2,4,2,5,5,3,1,2,3,5,1,152
B,5,W,1,3,Android ,5,5,1,3,4,5,1,4,4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,2,3,5,3,1,1,1,4,1,2,1,1,1,3,1,1,1,2,1,3,1,4,1,4,4,1,4,4,1,1,1,1,5,1,153
B,5,M,3,3,Android ,5,4,4,4,4,5,5,5,5,4,-1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,5,3,4,5,4,4,4,2,5,3,1,1,1,4,4,3,4,4,1,5,5,4,1,1,1,4,2,4,3,1,1,3,4,5,1,154
B,5,M,3,3,Android ,5,5,2,3,3,5,-1,4,4,5,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,4,5,5,3,3,4,5,5,4,4,1,5,5,4,4,3,5,5,5,3,3,1,1,5,1,5,2,1,1,3,4,5,1,155
B,5,W,1,5,iPhone,5,5,5,5,5,5,5,4,5,5,-1,4,4,-1,-1,-1,2,-1,5,4,4,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,4,4,5,4,1,5,5,4,4,5,5,4,3,4,1,5,4,4,4,1,5,4,4,4,4,2,4,4,3,5,5,1,1,2,4,5,5,156
B,3,W,1,3,iPhone,2,4,2,5,4,4,2,3,3,4,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,5,2,5,5,5,1,1,1,5,1,4,1,1,1,5,4,5,1,1,4,1,1,3,1,1,5,3,5,1,1,1,1,3,5,1,157
B,5,M,2,4,iPhone,5,4,-1,3,4,3,-1,5,1,1,1,1,1,1,5,1,1,1,1,4,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,2,5,3,2,3,2,4,1,3,1,1,1,2,2,3,3,4,4,4,3,4,1,2,2,1,2,1,1,1,2,2,4,1,158
B,5,W,2,4,iPhone,5,5,1,5,5,5,5,4,4,5,-1,1,5,-1,-1,-1,4,-1,5,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,5,5,-1,2,2,4,3,1,5,5,3,3,5,5,5,5,1,5,5,4,3,5,2,5,5,2,4,4,4,4,4,2,5,3,-1,5,3,3,5,2,159
B,6,M,4,6,Android ,5,5,5,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,5,5,5,5,5,-1,-1,5,5,-1,-1,-1,-1,5,5,4,-1,5,5,5,5,5,-1,-1,5,-1,-1,-1,5,-1,-1,-1,-1,5,-1,160
B,4,W,2,2,iPhone,5,4,4,3,3,3,2,2,3,5,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,3,2,5,4,4,5,5,3,4,1,5,1,2,1,1,1,3,3,5,1,4,5,5,2,4,1,2,4,3,4,4,1,1,2,4,5,1,161
B,6,M,2,1,Android ,5,5,2,5,5,5,5,3,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,-1,-1,-1,-1,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,5,4,5,5,4,3,4,3,5,3,3,-1,-1,5,5,4,5,5,5,5,5,3,5,-1,4,5,3,5,-1,-1,-1,3,4,5,-1,162
B,4,W,2,1,Android ,5,5,3,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,4,-1,3,5,4,4,-1,4,5,-1,3,-1,-1,4,4,4,5,4,3,5,5,-1,-1,-1,3,4,2,5,3,-1,-1,2,4,5,-1,163
B,5,W,1,2,Android ,5,4,4,3,4,5,5,5,5,4,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,5,3,4,5,4,3,2,4,5,3,4,1,1,2,3,4,4,1,4,5,4,4,4,1,2,4,2,4,4,1,1,2,3,5,2,164
B,4,M,2,3,iPhone,5,2,3,2,4,4,4,2,2,2,3,4,-1,-1,-1,3,-1,5,-1,1,5,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,4,4,4,4,3,3,3,4,2,1,2,2,3,2,2,4,3,3,4,5,2,3,3,4,4,3,3,3,1,2,2,3,5,3,165
B,5,W,3,3,iPhone,5,5,4,4,5,5,4,5,5,5,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,3,4,5,4,1,1,1,5,1,4,1,1,4,1,3,4,1,4,4,2,4,1,1,1,4,1,4,3,1,1,1,3,3,1,166
B,5,W,1,3,iPhone,5,5,3,5,5,5,2,4,4,5,1,1,4,1,1,2,1,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,5,4,4,3,2,5,4,3,3,2,5,2,3,3,1,5,4,4,5,4,4,5,4,4,4,1,4,5,3,5,4,-1,-1,3,4,5,2,167
B,5,W,1,3,Andere,5,5,3,5,5,5,5,4,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,3,-1,-1,-1,3,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,3,2,4,4,4,5,5,2,3,4,4,3,2,2,1,2,2,2,5,2,3,5,4,4,5,1,3,4,2,4,4,-1,-1,2,3,5,3,168
B,5,W,4,4,iPhone,5,5,4,5,5,5,5,5,5,5,1,2,-1,-1,-1,3,-1,3,-1,5,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,3,4,5,4,5,5,5,1,3,5,5,2,2,2,1,4,5,4,5,1,5,5,5,5,1,1,2,5,1,5,5,1,1,3,4,5,3,169
B,6,M,3,3,iPhone,5,5,-1,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,2,-1,-1,-1,3,-1,5,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,3,3,3,1,2,5,5,2,3,5,3,4,4,2,2,5,4,3,5,1,5,5,5,3,4,1,2,5,1,4,4,2,1,1,3,5,1,170
B,4,M,1,5,Android ,5,3,3,3,5,5,-1,5,4,5,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,4,2,1,5,3,2,1,2,1,3,1,1,1,5,4,3,5,2,3,3,2,1,1,1,1,4,1,3,3,2,1,3,3,2,1,171
B,5,W,2,3,iPhone,5,5,5,5,5,5,5,5,5,4,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,2,1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,3,4,4,2,4,5,5,3,3,4,5,5,4,4,4,1,4,4,5,2,2,5,4,4,3,3,1,-1,2,5,5,1,1,2,3,5,1,172
B,4,W,1,6,iPhone,5,4,4,4,5,5,-1,4,4,5,1,1,1,1,1,2,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,4,5,3,5,5,3,4,5,5,4,3,3,1,5,1,4,5,1,1,5,1,1,4,1,2,4,1,4,4,1,1,3,3,5,1,173
B,6,M,2,5,Android ,5,5,-1,5,5,5,5,3,5,5,5,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,4,-1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,1,5,5,2,4,2,5,1,2,1,1,4,4,4,5,1,1,4,5,1,3,1,1,3,1,5,3,1,1,4,4,5,1,174
B,4,M,2,4,Android ,5,2,4,2,4,5,4,4,3,4,4,2,1,1,5,2,1,1,1,2,1,4,1,1,1,3,1,1,3,2,1,1,1,2,1,1,1,3,2,4,3,3,5,3,3,4,4,5,4,4,3,2,4,3,3,4,2,5,5,4,4,4,1,4,4,3,3,2,1,1,3,2,4,1,175
B,4,W,3,2,Android ,5,4,3,4,5,5,5,4,4,5,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,4,2,5,4,5,5,4,2,2,1,4,1,4,1,1,3,5,4,-1,2,5,-1,5,3,2,1,1,-1,1,5,2,1,1,2,3,5,4,176
B,4,M,3,3,iPhone,5,5,5,5,5,5,5,2,2,5,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,3,4,3,1,5,4,2,4,4,5,3,3,1,1,1,2,3,4,1,1,5,4,4,4,1,1,4,1,5,1,1,1,3,3,5,3,177
B,4,M,4,2,iPhone,3,4,4,4,5,5,-1,4,4,5,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,4,1,1,2,1,4,1,1,1,1,1,1,2,1,4,4,4,5,4,4,4,5,5,5,3,3,1,5,4,4,5,3,5,5,4,4,2,1,1,4,2,4,3,1,1,3,3,4,2,178
B,6,W,3,2,Android ,5,5,-1,5,5,5,5,2,5,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,4,4,5,5,4,5,5,4,5,5,5,5,5,5,1,4,4,4,5,1,2,1,4,4,4,1,4,5,4,5,4,1,1,2,4,5,1,179
B,3,W,1,3,iPhone,5,5,2,2,5,5,5,5,5,5,-1,4,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,3,1,4,2,2,5,4,2,2,5,5,1,3,-1,-1,3,2,2,4,4,4,4,3,4,1,1,4,4,1,4,4,-1,-1,-1,1,3,3,180
B,6,W,2,5,iPhone,5,5,5,5,5,5,5,5,4,5,2,3,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,4,5,4,1,3,5,5,5,4,1,1,5,3,3,4,1,5,5,4,4,3,1,1,5,1,4,4,1,1,3,3,5,1,181
B,5,M,2,4,Android ,5,4,4,5,4,5,-1,5,5,4,5,3,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,1,1,1,1,1,1,1,3,1,1,1,2,5,3,1,5,4,1,1,3,5,5,1,1,1,5,4,3,4,5,5,5,5,4,4,3,3,2,3,5,4,3,1,1,2,5,3,182
B,2,W,1,1,Android ,5,5,1,3,5,5,5,5,3,5,-1,-1,4,-1,-1,4,-1,-1,-1,-1,-1,-1,4,-1,-1,4,-1,-1,-1,3,5,-1,-1,5,-1,-1,-1,3,-1,3,2,3,5,5,3,4,5,5,4,4,4,1,1,3,2,4,4,1,3,4,1,1,1,1,5,2,5,2,1,1,2,4,1,1,183
B,3,M,1,3,iPhone,5,4,3,4,4,5,5,3,3,4,-1,-1,-1,-1,-1,2,1,-1,-1,-1,4,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,3,1,5,4,2,4,5,5,5,5,2,1,4,4,4,1,1,3,5,5,3,5,3,4,5,5,5,2,1,1,2,5,-1,1,184
B,4,M,1,3,Android ,5,4,5,5,5,5,5,3,5,5,1,1,1,1,4,1,1,1,1,5,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1,1,1,1,5,5,5,1,5,5,3,5,5,5,4,5,5,1,1,4,4,4,4,4,4,4,4,3,1,1,4,1,5,5,1,1,1,4,5,1,185
B,3,M,1,4,iPhone,5,5,1,4,3,3,2,2,2,5,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,3,1,1,1,3,2,5,2,4,2,3,1,3,4,5,3,2,2,1,3,5,3,5,1,2,2,3,3,4,1,1,4,1,4,1,1,1,4,4,3,1,186
B,6,W,2,5,iPhone,5,5,3,4,5,5,5,5,5,5,2,3,5,1,1,2,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,4,3,4,5,5,3,3,5,5,4,4,2,1,3,4,4,4,1,5,5,3,2,2,1,1,4,2,5,2,1,1,2,3,4,4,187
B,4,M,2,2,Android ,5,4,4,4,5,4,-1,4,4,5,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,4,2,5,3,5,5,5,2,2,4,5,4,2,1,1,5,3,4,5,3,2,5,4,4,4,1,1,4,4,4,1,1,1,1,4,5,2,188
B,4,M,5,1,Android ,5,5,-1,4,5,5,-1,3,4,5,1,-1,1,-1,-1,2,-1,-1,4,-1,4,4,-1,2,2,-1,-1,-1,4,-1,5,1,3,-1,-1,-1,-1,3,1,4,3,1,5,4,4,4,5,5,5,3,-1,1,5,3,3,4,5,5,5,5,2,4,3,3,4,2,5,5,-1,-1,2,4,5,-1,189
B,5,W,1,1,iPhone,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,3,3,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,5,4,4,5,5,3,3,5,5,3,4,3,-1,4,4,4,5,5,5,5,4,4,4,3,2,4,2,4,4,1,1,3,3,5,3,190
B,4,W,2,3,Android ,5,5,4,5,5,5,5,5,4,5,1,1,1,3,1,1,3,1,4,4,2,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,2,4,4,3,5,5,2,4,4,5,4,4,1,1,1,4,3,5,1,5,4,4,4,2,4,4,4,2,5,4,1,1,2,1,5,4,191
B,6,M,4,4,Android ,5,5,2,5,5,5,4,4,4,1,5,1,1,1,1,4,1,1,1,1,1,4,1,1,4,1,1,1,4,2,2,1,1,3,1,1,1,2,2,5,3,3,5,4,3,3,4,5,3,2,2,1,4,4,4,4,2,5,5,5,4,3,2,1,5,4,5,3,2,1,4,2,5,1,192
B,5,W,2,4,iPhone,5,5,3,3,4,5,5,4,3,5,-1,-1,5,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,4,3,4,3,2,5,4,2,3,3,5,4,4,1,1,1,1,1,4,3,5,5,4,3,4,1,4,4,1,5,3,1,1,3,3,5,4,193
B,6,W,1,3,Android ,5,5,1,-1,5,5,5,5,5,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1,5,5,1,1,1,5,1,3,1,1,1,3,4,5,1,5,5,3,2,1,1,3,4,1,5,5,1,1,3,3,4,1,194
